,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,Drug_Use,EDU_18,EDU_Some_college,EDU_Cert,EDU_Uni,EDU_Mas,EDU_Doc,Age25_34,Age35_44,Age45_54,Age55_64,Age65_,Gender
44,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
45,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
46,0.31287,0.63779,-1.11902,0.28783000000000003,1.46191,-0.71126,-0.8463700000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
47,-2.05048,0.80523,0.29338000000000003,0.94156,1.13407,-2.55524,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
48,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.8463700000000001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49,0.82562,-0.57545,-1.97495,-0.91699,0.25953000000000004,0.52975,1.2247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.8463700000000001,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
51,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
52,-0.14882,0.0033200000000000005,-1.42424,0.28783000000000003,-0.78155,0.52975,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53,-1.43907,-0.15487,1.06238,0.28783000000000003,0.25953000000000004,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
54,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
55,0.04257,-0.69509,-1.11902,-0.4532100000000001,-0.40581,-1.37983,-2.07848,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,0.04257,0.0033200000000000005,-1.68062,-0.01729,0.25953000000000004,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
57,-0.58016,0.63779,-1.97495,0.28783000000000003,0.7583,-0.71126,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
58,0.22393,0.63779,-0.01928,-0.4532100000000001,-0.40581,1.86203,1.2247,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
59,-0.46725,-1.23177,-1.2755299999999998,-1.6209,-0.14277,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
60,1.37297,0.32197,0.29338000000000003,-0.30172,-0.27607,-1.37983,0.07987000000000001,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
61,-2.21844,1.58487,1.24033,0.13136,1.3061200000000002,-1.37983,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
62,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
63,1.02119,-0.30033000000000004,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
64,-1.5507799999999998,0.47617,1.06238,-0.4532100000000001,0.93949,-1.37983,-0.52593,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
65,0.73545,0.47617,-0.8473200000000001,1.11406,0.5848899999999999,0.52975,-0.21575,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
66,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
67,-0.34799,-0.30033000000000004,1.06238,-0.91699,-0.14277,0.88113,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
68,-0.92104,0.0033200000000000005,0.29338000000000003,-0.15487,-0.27607,-0.21712,0.07987000000000001,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
69,-0.05188,-0.69509,-1.68062,0.28783000000000003,-0.00665,-1.37983,-0.8463700000000001,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
70,-0.34799,-0.30033000000000004,0.14143,-1.92595,-0.27607,0.52975,0.7654,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
71,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72,-1.5507799999999998,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
73,-0.67825,-0.57545,-0.31776,0.28783000000000003,1.13407,-0.71126,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
74,-1.1943,-1.7625,-2.8595,-1.47955,0.25953000000000004,0.52975,-2.07848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,-0.14882,0.16767,-1.55521,-0.7609600000000001,-0.40581,0.52975,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
76,-0.34799,-0.69509,-1.55521,0.43852,0.5848899999999999,-2.55524,-2.07848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
78,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
79,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
80,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
81,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
82,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
83,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
85,-0.46725,0.0033200000000000005,-1.55521,0.13136,0.41594,0.52975,1.2247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
86,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
87,-0.92104,0.16767,-0.45174,-0.30172,0.25953000000000004,-0.71126,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
88,0.31287,-1.92173,-1.42424,-0.7609600000000001,-0.52745,-1.37983,-2.07848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89,0.91093,-0.57545,0.29338000000000003,-0.60633,-0.27607,0.52975,-0.21575,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
90,1.37297,0.32197,0.7233,0.28783000000000003,-0.78155,-1.37983,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,0.41667,-0.43999,0.7233,0.28783000000000003,0.7583,0.88113,0.7654,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
92,-1.5507799999999998,-0.30033000000000004,-0.45174,0.28783000000000003,-0.00665,-0.71126,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
93,-0.14882,-0.80615,-0.97631,0.7609600000000001,0.41594,-1.37983,-1.5485799999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
95,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
96,0.13606,-1.09207,0.29338000000000003,-0.15487,0.7583,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
97,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
99,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
100,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
101,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
103,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
104,-0.92104,0.16767,-0.17779,1.11406,0.5848899999999999,-0.71126,0.07987000000000001,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
105,-2.21844,0.47617,-1.82919,-0.7609600000000001,2.04506,-1.37983,-1.5485799999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
106,1.02119,-0.30033000000000004,-1.82919,0.28783000000000003,-0.40581,-1.37983,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
107,0.13606,0.0033200000000000005,-1.2755299999999998,-0.7609600000000001,0.5848899999999999,0.52975,-0.21575,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
109,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
110,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
111,0.31287,-1.09207,-0.8473200000000001,-0.60633,-0.65253,0.19268,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
112,-1.1943,0.32197,0.8830899999999999,-1.21213,-0.78155,-0.21712,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
113,0.04257,0.63779,0.29338000000000003,0.13136,0.7583,0.19268,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
114,-2.3436,1.93886,1.43533,-0.7609600000000001,-1.38502,1.86203,1.2247,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
115,0.22393,-0.57545,-0.8473200000000001,0.28783000000000003,1.13407,-1.37983,-2.07848,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
116,0.62967,-0.57545,0.14143,-1.7719999999999998,-0.40581,0.52975,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
117,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
118,1.8399,-1.92173,-2.39883,1.11406,0.25953000000000004,-0.21712,-1.5485799999999998,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
119,-0.34799,0.63779,-0.97631,0.28783000000000003,1.46191,-0.21712,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
120,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
121,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
122,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
123,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987000000000001,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
124,-0.34799,1.93886,0.29338000000000003,0.43852,0.5848899999999999,-0.21712,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
125,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
126,-1.1943,0.63779,-1.11902,-0.4532100000000001,-0.00665,-0.21712,-0.8463700000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
127,-0.34799,-0.80615,-0.8473200000000001,0.28783000000000003,0.93949,-1.37983,-2.07848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,0.04257,0.63779,0.14143,0.13136,0.25953000000000004,-0.21712,-1.18084,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
129,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
130,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,-1.5507799999999998,-0.15487,-1.2755299999999998,2.4626200000000003,0.5848899999999999,-1.37983,-2.07848,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
132,-0.24649,-0.57545,-0.58331,-0.15487,0.25953000000000004,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
133,-0.05188,0.16767,0.29338000000000003,-0.15487,0.12331,0.52975,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
134,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
135,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,-0.14882,-0.30033000000000004,-1.68062,1.81866,1.63088,1.29221,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
137,-1.1943,1.58487,0.29338000000000003,0.7609600000000001,0.41594,-2.55524,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
138,-0.46725,-0.80615,0.14143,0.28783000000000003,0.93949,-1.37983,-1.18084,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
139,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
141,-0.79151,0.63779,-1.11902,1.2861,0.5848899999999999,-1.37983,-2.07848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,-0.46725,-0.30033000000000004,-1.2755299999999998,0.28783000000000003,-0.14277,0.52975,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
143,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
144,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,-0.21712,0.7654,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
145,-0.46725,0.16767,-1.11902,2.23427,0.7583,1.29221,0.40148,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
146,0.22393,-1.23177,-0.17779,-0.4532100000000001,-0.27607,0.19268,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
147,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
148,-0.05188,-1.09207,-2.63199,-0.91699,0.25953000000000004,-1.37983,-1.5485799999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
149,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
150,-0.24649,1.2861,0.14143,0.59042,1.13407,0.19268,0.07987000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
151,0.52135,-1.6334,-1.82919,0.43852,-0.89891,-0.71126,-0.8463700000000001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
